Feature-to-Feature Correlations (absolute values, sorted)
('followers_over_following_scaled', 'double_followers_over_following_scaled'): 1.0000
('following_over_followers_scaled', 'following_over_followers_squared_scaled'): 0.9934
('followers_count_scaled', 'follower_rate_scaled'): 0.9911
('listed_count_scaled', 'listed_rate_scaled'): 0.9906
('following_count_scaled', 'following_rate_scaled'): 0.9637
('tweet_count_scaled', 'tweet_rate_scaled'): 0.9332
('followers_count_scaled', 'listed_count_scaled'): 0.8983
('followers_count_scaled', 'listed_rate_scaled'): 0.8960
('follower_rate_scaled', 'listed_rate_scaled'): 0.8699
('listed_count_scaled', 'follower_rate_scaled'): 0.8597
('listed_count_scaled', 'followers_over_following_scaled'): 0.8167
('listed_count_scaled', 'double_followers_over_following_scaled'): 0.8167
('followers_over_following_scaled', 'listed_rate_scaled'): 0.7754
('double_followers_over_following_scaled', 'listed_rate_scaled'): 0.7754
('name_length_scaled', 'name_entropy_scaled'): 0.7724
('username_length_scaled', 'username_entropy_scaled'): 0.7438
('username_name_length_ratio_scaled', 'name_entropy_scaled'): 0.7401
('followers_count_scaled', 'followers_over_following_scaled'): 0.7136
('followers_count_scaled', 'double_followers_over_following_scaled'): 0.7136
('followers_over_following_scaled', 'follower_rate_scaled'): 0.6577
('double_followers_over_following_scaled', 'follower_rate_scaled'): 0.6577
('ratio_special_chars_in_name_scaled', 'ratio_special_chars_in_description_scaled'): 0.5656
('name_length_scaled', 'username_name_length_ratio_scaled'): 0.5241
('ratio_special_chars_in_name_scaled', 'username_name_levenshtein_scaled'): 0.3621
('ratio_digits_in_name_scaled', 'ratio_digits_in_username_scaled'): 0.3150
('follower_rate_scaled', 'tweets_last20_avg_likes_scaled'): 0.3091
('description_length_scaled', 'mention_in_description_count_scaled'): 0.2887
('name_entropy_scaled', 'username_entropy_scaled'): 0.2557
('followers_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.2448
('account_age_seconds_scaled', 'following_over_total_connections_scaled'): 0.2446
('ratio_digits_in_username_scaled', 'following_over_total_connections_scaled'): 0.2392
('name_upper_to_lower_ratio_scaled', 'username_upper_to_lower_ratio_scaled'): 0.2265
('tweets_over_followers_scaled', 'tweet_rate_scaled'): 0.2172
('description_length_scaled', 'name_entropy_scaled'): 0.2144
('tweets_last20_reply_fraction_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.2046
('name_length_scaled', 'description_length_scaled'): 0.1965
('description_length_scaled', 'following_over_total_connections_scaled'): 0.1954
('description_length_scaled', 'account_age_seconds_scaled'): 0.1908
('tweet_count_scaled', 'tweets_over_followers_scaled'): 0.1903
('username_length_scaled', 'username_name_length_ratio_scaled'): 0.1875
('description_length_scaled', 'hashtag_in_description_count_scaled'): 0.1846
('ratio_special_chars_in_description_scaled', 'username_name_levenshtein_scaled'): 0.1842
('description_length_scaled', 'description_sentiment_scaled'): 0.1839
('account_age_seconds_scaled', 'tweet_count_scaled'): 0.1814
('name_length_scaled', 'username_name_levenshtein_scaled'): 0.1806
('description_length_scaled', 'url_in_description_count_scaled'): 0.1794
('ratio_digits_in_username_scaled', 'account_age_seconds_scaled'): 0.1794
('username_length_scaled', 'account_age_seconds_scaled'): 0.1791
('username_length_scaled', 'username_name_levenshtein_scaled'): 0.1779
('listed_over_tweets_scaled', 'follower_rate_scaled'): 0.1742
('username_entropy_scaled', 'account_age_seconds_scaled'): 0.1712
('following_over_total_connections_scaled', 'tweets_over_followers_scaled'): 0.1710
('description_length_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.1667
('listed_over_tweets_scaled', 'listed_rate_scaled'): 0.1664
('listed_rate_scaled', 'tweets_last20_avg_likes_scaled'): 0.1656
('ratio_digits_in_description_scaled', 'url_in_description_count_scaled'): 0.1630
('name_upper_to_lower_ratio_scaled', 'username_name_levenshtein_scaled'): 0.1620
('description_length_scaled', 'ratio_digits_in_username_scaled'): 0.1619
('username_length_scaled', 'username_upper_to_lower_ratio_scaled'): 0.1595
('username_entropy_scaled', 'username_name_levenshtein_scaled'): 0.1581
('username_length_scaled', 'name_entropy_scaled'): 0.1573
('followers_count_scaled', 'listed_over_tweets_scaled'): 0.1552
('following_over_total_connections_scaled', 'listed_rate_scaled'): 0.1519
('ratio_special_chars_in_name_scaled', 'tweet_rate_scaled'): 0.1509
('username_name_length_ratio_scaled', 'description_length_scaled'): 0.1457
('ratio_digits_in_username_scaled', 'tweets_over_followers_scaled'): 0.1455
('username_name_length_ratio_scaled', 'ratio_special_chars_in_name_scaled'): 0.1455
('account_age_seconds_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.1396
('ratio_digits_in_name_scaled', 'tweets_over_followers_scaled'): 0.1393
('ratio_special_chars_in_username_scaled', 'account_age_seconds_scaled'): 0.1390
('listed_count_scaled', 'listed_over_tweets_scaled'): 0.1389
('username_upper_to_lower_ratio_scaled', 'follower_rate_scaled'): 0.1374
('username_upper_to_lower_ratio_scaled', 'followers_count_scaled'): 0.1354
('ratio_special_chars_in_username_scaled', 'tweets_last20_avg_retweets_scaled'): 0.1341
('listed_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.1336
('tweet_count_scaled', 'listed_rate_scaled'): 0.1311
('following_over_total_connections_scaled', 'listed_over_tweets_scaled'): 0.1303
('listed_count_scaled', 'following_over_total_connections_scaled'): 0.1302
('account_age_seconds_scaled', 'tweets_last20_reply_fraction_scaled'): 0.1298
('description_length_scaled', 'tweets_over_followers_scaled'): 0.1291
('following_over_followers_scaled', 'following_over_total_connections_scaled'): 0.1290
('ratio_special_chars_in_name_scaled', 'account_age_seconds_scaled'): 0.1288
('listed_count_scaled', 'tweet_count_scaled'): 0.1285
('following_rate_scaled', 'tweet_rate_scaled'): 0.1278
('following_over_total_connections_scaled', 'tweets_last20_reply_fraction_scaled'): 0.1272
('tweet_count_scaled', 'following_over_total_connections_scaled'): 0.1265
('following_over_total_connections_scaled', 'follower_rate_scaled'): 0.1263
